Frame,RF,VL,BF,TA,SOL,GAS_MED,GAS_LAT,GLUT_MED,GLUT_MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,-0.0320435,0.570068,-0.447693,0.078125,0.0166321,0.0366211,0.0335693,-0.230255,0.0292969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,-0.012207,0.293579,-0.450897,0.105896,0.0227356,0.0190735,-0.00717163,-0.167999,0.0804138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,0.000610352,0.144501,-0.404663,0.00946045,0.0143433,0.0350952,0.019989,-0.175171,0.0592041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,-0.0210571,-0.0317383,-0.404816,0.0219727,0.0596619,0.0012207,0.0344849,-0.132141,0.0622559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,-0.0183105,-0.114136,-0.372467,-0.0308228,-0.00167847,0.00320435,0.0657654,-0.138397,0.0471497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,0.0108337,-0.261841,-0.34668,-0.0587463,0.0396729,0.00183105,0.0221252,-0.0956726,0.0794983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,-0.0152588,-0.356598,-0.291595,-0.0842285,-0.035553,-0.0108337,0.0802612,-0.104828,0.0364685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,0.0260925,-0.44281,-0.32135,-0.0382996,0.0280762,-0.0038147,0.0593567,-0.0592041,0.0758362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,0.0132751,-0.558319,-0.267944,-0.0260925,-0.00320435,-0.030365,0.101013,-0.0700378,0.052948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,0.0450134,-0.625305,-0.249023,0.0669861,0.0315857,-0.00854492,0.0598145,-0.0318909,0.042572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,0.0471497,-0.741577,-0.21225,0.109558,0.0421143,-0.0247192,0.0631714,0.00976562,0.0361633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.0489807,-0.775909,-0.193176,-0.0701904,0.0175476,0.0318909,0.063324,-0.0201416,0.0357056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.0392151,-0.881195,-0.137787,0.00930786,0.00595093,-0.00259399,0.0775146,0.0408936,0.0564575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.0233459,-0.983124,-0.122833,0.0627136,0.0135803,-0.0144958,0.125275,0.0219727,0.0314331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.0311279,-1.16791,-0.0881958,-0.00564575,0.0149536,-0.0152588,0.125885,0.0543213,0.0610352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.0228882,-1.31653,-0.0265503,-0.347595,0.00915527,0.0311279,0.121155,-0.00198364,0.0149536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.0483704,-1.55869,-0.0134277,-0.233002,0.0331116,0.0152588,0.0846863,0.0622559,0.0375366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.0292969,-1.71204,0.0274658,-0.0949097,0.0282288,0.0538635,0.117645,0.0427246,-0.0151062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.0354004,-1.92871,0.0224304,0.050354,0.0328064,0.00534058,0.118713,0.0622559,0.0288391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,-0.015564,-2.13608,0.0646973,0.124969,0.0218201,-0.00167847,0.110168,0.0640869,-0.0305176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.00335693,-2.27646,0.0737,0.0875854,0.0314331,0.0169373,0.108337,0.0480652,-0.0215149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,0.00396729,-2.41867,0.0975037,0.0387573,0.00198364,-0.0233459,0.106201,0.0621033,-0.0354004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,0.0262451,-2.46689,0.119476,-0.032959,-0.0230408,0.032196,0.108643,0.0489807,-0.0363159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,0.0341797,-2.50122,0.167694,0.0323486,-0.0344849,0.01297,0.0869751,0.0602722,-0.000457764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,0.0369263,-2.36237,0.209656,-0.00930786,-0.0335693,0.0138855,0.104218,0.0241089,-0.0480652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,0.0686646,-2.27448,0.193176,0.00701904,0.000305176,0.0233459,0.0817871,0.0765991,0.0131226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,0.0463867,-2.117,0.227203,-0.0331116,-0.0198364,0.012207,0.123444,0.0473022,-0.0192261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,0.088501,-1.96182,0.21286,-0.0337219,0.0228882,-0.00183105,0.0904846,0.0502014,-0.00274658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,0.0410461,-1.74652,0.241241,-0.0410461,-0.0230408,0.0149536,0.125275,0.0236511,-0.0396729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,0.0541687,-1.56128,0.22644,-0.0654602,0.0114441,0.00839233,0.0880432,0.00167847,-0.0521851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,0.01297,-1.40976,0.238495,0.000915527,0.000915527,-0.00396729,0.108643,-0.0306702,-0.0543213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,0.0270081,-1.25183,0.18158,-0.0320435,0.0224304,0.0141907,0.0865173,0.0184631,-0.0349426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,-0.0138855,-1.17813,0.184631,-0.00778198,0.038147,-0.0131226,0.0759888,0.0050354,-0.0164795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,-0.0480652,-1.07956,0.187683,-0.0653076,0.0367737,0.0291443,0.045929,-0.00183105,-0.043335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,-0.0958252,-1.01227,0.188446,-0.052948,0.0305176,0.0245667,0.0508118,0.0227356,0.00656128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,-0.0627136,-0.86319,0.187225,-0.078125,-0.0050354,0.0260925,0.103149,-0.012207,-0.0215149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,-0.0440979,-0.751038,0.179291,-0.0740051,0.043335,0.0328064,0.0668335,0.0334167,0.0135803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,-0.101166,-0.598297,0.19577,-0.0656128,0.00549316,0.00900269,0.117188,0.0177002,-0.0134277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,-0.0346375,-0.472107,0.161743,-0.0576782,0.0131226,-0.0202942,0.0976562,0.0532532,0.00411987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,-0.0682068,-0.343018,0.209351,-0.0312805,-0.00549316,-0.014801,0.124512,0.0674438,0.00808716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,-0.00732422,-0.182495,0.158539,-0.0291443,0.0300598,0.042572,0.114136,0.00457764,0.00396729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0.0062561,-0.102692,0.188904,-0.0169373,0.0515747,0.00595093,0.105286,0.0387573,0.0160217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0.00228882,0.0491333,0.169067,-0.0154114,0.0569153,0.00930786,0.0613403,0.0219727,0.0202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0.0164795,0.0964355,0.16983,0.0325012,0.0637817,0.00244141,0.0299072,0.0646973,0.0460815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0.00564575,0.212097,0.163879,0.0050354,0.0250244,0.0170898,0.0460815,-0.000457764,0.0192261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0.0578308,0.257721,0.121613,0.0128174,-0.0346375,0.00427246,0.0115967,0.0541687,0.0648499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0.0257874,0.38269,0.146027,-0.0117493,-0.0653076,0.018158,0.0170898,0.0335693,0.0271606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0.0437927,0.375977,0.120392,-0.000915527,-0.0190735,0.00717163,-0.0105286,0.0668335,0.0476074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0.015564,0.395966,0.172119,-0.0128174,-0.00991821,-0.0108337,0.0196838,0.0860596,0.0534058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0.0608826,0.420532,0.103302,-0.00350952,0.0465393,-0.00869751,0.0436401,0.0506592,0.0686646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0.052948,0.367279,0.136719,-0.00915527,0.0259399,-0.00320435,0.0401306,0.0686646,0.0611877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,0.0675964,0.358124,0.0938416,-0.0448608,0.0387573,0.0567627,0.0653076,0.0431824,0.0628662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,0.0531006,0.270538,0.0978088,-0.0187683,0.0297546,0.0309753,0.00793457,0.0709534,0.0927734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,0.0305176,0.284882,0.115356,-0.038147,0.00793457,0.0546265,-0.00747681,0.0375366,0.0457764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,0.0320435,0.278625,0.0726318,0.00152588,0.065155,0.0088501,-0.0375366,0.0479126,0.0680542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,0.00335693,0.285492,0.124817,-0.0325012,0.00305176,0.00320435,-0.0242615,0.00366211,0.0411987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,0.0128174,0.293274,0.117798,0.000152588,0.0202942,-0.00518799,-0.085907,0.0215149,0.0312805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,-0.0285339,0.299683,0.131531,0.00900269,-0.0334167,-0.0231934,-0.0270081,0.00488281,0.0389099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,-0.0254822,0.331726,0.0942993,-0.000915527,-0.0274658,0.0462341,-0.0682068,0.0436401,0.0819397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,-0.0541687,0.366974,0.120392,0.0276184,-0.0204468,0.0263977,-0.0482178,0.0189209,0.0544739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,-0.0132751,0.415192,0.092926,-0.0062561,0.0242615,0.025177,-0.0773621,0.0170898,0.0306702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,-0.0222778,0.359039,0.110779,0.0401306,0.0392151,-0.0270081,-0.0741577,0.0471497,0.0630188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.0367737,0.380402,0.0892639,0.00717163,0.0141907,0.00198364,-0.0654602,0.00549316,0.01297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.0146484,0.335388,0.0883484,0.0427246,0.00793457,-0.0198364,-0.112152,0.0408936,0.0335693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.0038147,0.345001,0.0872803,0.0160217,0.00976562,-0.0283813,-0.0802612,0.0141907,-0.00808716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.0465393,0.365448,0.0630188,0.0137329,0.0511169,0.0131226,-0.10849,0.0935364,0.0366211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.0370789,0.42572,0.0898743,0.0256348,-0.0050354,-0.0216675,-0.0775146,0.0419617,-0.000610352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.0643921,0.428009,0.0532532,0.0216675,0.017395,-0.000915527,-0.10025,0.0866699,0.0193787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.0177002,0.440216,0.0813293,0.0151062,0.0294495,-0.0276184,-0.0880432,0.0236511,-0.0146484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.037384,0.515289,0.0500488,0.0230408,0.0283813,0.0210571,-0.0582886,0.0468445,-0.0177002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
